"sp_name","esthe_score","file_name","copyright","iucn","rls","kingdom","phylum","class","order","family","genus","species","ages_mean","ED","ED_sd","max_length","trophic_level","thermal_mp_5min_95max","thermal_95thmax","trophic_group","water_column","diel_activity","habitat","Di","Ui","iucn_code","threats","esthe_score_mean","Importance","fishery_importance"
"Abalistes_stellatus",1572.8821,"Abalistes_stellatus_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus",14.6076627900003,17.8971589073247,3.22659649769961,0.675264177381051,0.518518518518518,0.884294256716337,0.920684801156736,"benthic invertivore","demersal","day","sand",0.495123961242094,0.00943929537893569,"NE","nev",1463.71006666667,NA,0
"Abudefduf_abdominalis",1593.0878,"Abudefduf_abdominalis_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf abdominalis",5.63139848154976,10.3132774388206,3.53464194768016,0.543924469105433,0.37037037037037,0.883827756763026,0.821523093441126,"planktivore","demersal","day","coral",0.46895155909952,0.0403262182843932,"LC","nthr",1600.37713333333,NA,0
"Abudefduf_bengalensis",1445.3408,"Abudefduf_bengalensis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf bengalensis",5.99047786781636,10.2349915660393,4.51942496589694,0.436301066895085,0.407407407407407,0.851640330423675,0.935464521388796,"planktivore","demersal","day","coral",0.467601549554394,0.00802997487103194,"LC","nthr",1453.3264,"minor commercial",1
"Abudefduf_concolor",1416.8447,"Abudefduf_concolor_A_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf concolor",7.14613356459811,12.0807292281218,4.46323138252432,0.457376450129489,0.259259259259259,0.932109744826885,0.893415423582819,"planktivore","demersal","day","coral",0.473218514851132,0.0154072676460865,"LC","nthr",1486.6138,NA,0
"Abudefduf_conformis",1529.6062,"Abudefduf_conformis_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf conformis",7.61822917069929,14.2913198752079,4.37977883065875,0.386921548043701,0.296296296296296,0.958466869045338,0.938983964337403,"planktivore","demersal","day","coral",0.473709805784224,0.0195176712974783,"LC","nthr",1458.9055,NA,0
"Abudefduf_luridus",1671.356,"Abudefduf_luridus_J_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf luridus",8.37328078589737,16.1154402214492,4.98735781836235,0.412584760829815,0.555555555555555,0.765679876564561,0.733624272670377,"planktivore","demersal","day","rock",0.528839522292218,0.0198782413069678,"LC","nthr",1452.78266666667,NA,0
"Abudefduf_notatus",1397.199,"Abudefduf_notatus_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf notatus",5.60187370556699,10.6190383812801,4.25503588541716,0.436301066895085,0.259259259259259,0.895622078746715,0.904530711077534,"planktivore","demersal","day","coral",0.472746480687869,0.0154072676460865,"LC","nthr",1381.11446306333,"of no interest",1
"Abudefduf_saxatilis",1499.3062,"Abudefduf_saxatilis_A_2","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf saxatilis",5.49695822799294,10.1837907273566,3.62046412122169,0.492752561484523,0.518518518518518,0.905681329500716,0.91988430054482,"planktivore","demersal","day","coral",0.468088296145629,0.0115113611101665,"LC","nthr",1478.4597,"minor commercial",1
"Abudefduf_septemfasciatus",1369.0259,"Abudefduf_septemfasciatus_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf septemfasciatus",5.02270706257318,10.6120599160329,3.59333659352717,0.493578197413049,0.37037037037037,0.928343783966061,0.938595945711285,"planktivore","demersal","day","coral",0.469177414897529,0.0147890170306715,"LC","nthr",1382.14465,"minor commercial",1
"Abudefduf_sexfasciatus",1649.46,"Abudefduf_sexfasciatus_A_3","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sexfasciatus",5.37112332232987,11.0910383437378,4.28223008024655,0.424813722840309,0.148148148148148,0.860097026454845,0.924799276476421,"planktivore","demersal","day","coral",0.481278043373545,0.0299689406400581,"LC","nthr",1599.903,"minor commercial",1
"Abudefduf_sordidus",1372.6014,"Abudefduf_sordidus_A_3","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sordidus",5.7096989413855,10.4757117529273,4.23358669583525,0.493578197413049,0.296296296296296,0.862966541073967,0.926497747925327,"planktivore","demersal","day","coral",0.470786235113781,0.0278418449492468,"LC","nthr",1356.517,"minor commercial",1
"Abudefduf_sparoides",1525.7122,"Abudefduf_sparoides_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf sparoides",5.3585082844605,10.2473111755173,4.84938097779721,0.424813722840309,0.37037037037037,0.931127375462018,0.896454156526498,"planktivore","demersal","day","coral",0.46877145774674,0.00888734817211089,"LC","nthr",1430.820767765,"of no interest",1
"Abudefduf_troschelii",1528.0579,"Abudefduf_troschelii_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf troschelii",5.62627925873568,10.2079264478949,3.69150086793997,0.46709566490854,0.37037037037037,0.88059988208271,0.905764097231963,"planktivore","demersal","day","coral",0.467728027950392,0.0113153025895999,"LC","nthr",1506.5604,NA,0
"Abudefduf_vaigiensis",1449.2268,"Abudefduf_vaigiensis_A_1","NO",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf vaigiensis",5.44291509250643,10.5788149857142,4.31076837056405,0.46709566490854,0.222222222222222,0.837885881463949,0.929482589880619,"planktivore","demersal","day","coral",0.475156331104377,0.0275290069270264,"LC","nthr",1431.57980700327,"subsistence fisheries",2
"Abudefduf_whitleyi",1489.5237,"Abudefduf_whitleyi_A_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf","Abudefduf whitleyi",5.16654973521982,10.777516984559,4.30640318949325,0.399511774502621,0.222222222222222,0.851714077124258,0.893372085294183,"planktivore","demersal","day","coral",0.475419549862482,0.0207776376146646,"LC","nthr",1421.904,NA,0
"Acanthaluteres_brownii",1501.5645,"Acanthaluteres_brownii_M_1","YES",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres brownii",6.33513849529824,11.0128096636333,6.3876019159014,0.658776987948576,0.296296296296296,0.649869120948913,0.670540681178032,"omnivore","demersal","day","rock",0.544443708577639,0.0181683266093679,"LC","nthr",1422.74036666667,NA,0
"Acanthaluteres_spilomelanurus",1575.515,"Acanthaluteres_spilomelanurus_M_2","YES",0,1,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres spilomelanurus",6.17171096274373,10.6252884797323,5.39543396262275,0.399511774502621,0.333333333333333,0.592026823030681,0.665282630528451,"omnivore","demersal","day","sand",0.558673172566934,0.0922845065209036,"LC","nthr",1464.13473333333,NA,0
