"Scientific";"FLICKR_tot";"WIKI_views";"WIKI_lenght";"WIKI_nblang";"WIKI_nbcom";"WOS_all";"WOS_shan_fields";"WOS_CiteScore";"WOS_simp_fields";"WOS_n_fields";"WOS_tot_cit";"WOS_H_index";"NCBI_nuccore";"NCBI_protein";"NCBI_popset"
"Abalistes stellatus";11;11941;569;12;0;24;2,77280396532728;2,85;0,915555555555556;22;148;7;150;193;78
"Abudefduf abdominalis";37;3319;430;14;1;14;2,40615957539782;5,15;0,89196675900277;13;173;8;384;61;4
"Abudefduf bengalensis";97;209;472;13;2;11;1,83437197028162;2,17142857142857;0,82;7;64;3;156;146;32
"Abudefduf concolor";2;2472;206;11;1;4;1,21488965394912;2,925;0,666666666666667;4;65;2;8;7;3
"Abudefduf conformis";0;128;203;10;1;1;0,693147180559945;1,1;0,5;2;6;1;0;10;4
"Abudefduf notatus";10;7647;292;11;1;1;1,09861228866811;3,5;0,666666666666667;3;0;0;22;14;11
"Abudefduf saxatilis";586;8892;2030;19;9;94;2,54717640551013;3,25641025641026;0,861023778272947;34;1526;20;832;216;44
"Abudefduf septemfasciatus";30;5340;259;11;1;4;1,05492016798614;2,9;0,64;3;40;2;310;265;20
"Abudefduf sexfasciatus";190;4684;1640;16;3;23;2,21935388788455;4,585;0,845;15;381;10;1430;1086;39
"Abudefduf sordidus";92;1994;345;11;1;11;2,02804676777597;2,65;0,847645429362881;9;65;5;467;221;20
"Abudefduf sparoides";10;129;260;10;1;1;0,693147180559945;1,1;0,5;2;0;0;60;48;13
"Abudefduf troschelii";50;11390;1234;13;1;20;1,75543720066832;2,05789473684211;0,786324786324786;8;276;9;187;19;5
"Abudefduf vaigiensis";234;5954;1146;21;4;47;2,00424504678217;3,64571428571429;0,805785123966942;14;445;10;2585;1845;74
"Abudefduf whitleyi";12;135;178;9;1;11;1,59026960110653;3,11818181818182;0,770083102493075;6;193;5;45;26;14
"Acanthaluteres brownii";2;0;99;0;0;2;1,38629436111989;3,9;0,75;4;0;0;3;26;0
"Acanthaluteres spilomelanurus";15;5524;141;0;0;5;1,93560050545395;4,3;0,833333333333333;8;6;2;9;6;5
"Acanthaluteres vittiger";32;0;98;0;0;8;1,54267196873815;3,375;0,746666666666667;6;156;5;7;3;4
"Acanthemblemaria atrata";3;5052;154;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthemblemaria castroi";4;5339;174;0;0;1;1,09861228866811;2,3;0,666666666666667;3;0;0;11;11;10
"Acanthemblemaria crockeri";14;5198;206;0;0;5;1,51570795208571;5,88;0,760330578512397;5;46;2;76;31;12
"Acanthemblemaria hancocki";4;6580;194;0;0;0;0;0;0;0;0;0;21;19;13
"Acanthemblemaria spinosa";296;10819;415;0;0;13;1,37621003957167;4,05454545454545;0,7008;5;171;6;450;474;10
"Acanthemblemaria stephensi";0;5354;154;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthistius cinctus";5;942;175;0;0;0;0;0;0;0;0;0;11;11;11
"Acanthistius ocellatus";45;0;101;0;0;0;0;0;0;0;0;0;17;9;10
"Acanthistius pardalotus";0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthistius patachonicus";0;0;31;0;0;15;2,26117763345489;3,06428571428571;0,872359963269054;12;94;6;40;22;4
"Acanthistius sebastoides";0;0;341;0;0;1;0,693147180559945;1,7;0,5;2;5;1;0;0;0
"Acanthistius serratus";0;0;31;0;0;0;0;0;0;0;0;0;2;0;0
"Acanthochromis polyacanthus";56;18336;1271;16;0;159;2,85392714552283;6,10923076923077;0,897481789802289;37;4234;41;58173;46405;33
"Acanthopagrus australis";46;37746;1019;0;0;204;2,33418003573039;4,10168539325843;0,842299062875545;33;2996;31;85;26;16
"Acanthopagrus latus";6;17820;165;15;0;170;3,24770177992993;3,62097902097902;0,911511111111111;60;1430;23;130328;109832;21
"Acanthostracion polygonium";353;0;0;0;0;0;0;0;0;0;0;0;22;14;15
"Acanthostracion quadricornis";503;5016;1047;16;3;7;1,95125950414396;2,55;0,840236686390533;8;15;2;164;77;34
"Acanthurus achilles";139;94706;1897;22;4;2;0,693147180559945;2;0,5;2;22;1;153;169;9
"Acanthurus albipectoralis";0;9680;726;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthurus auranticavus";6;9431;445;0;0;2;0;0;0;0;3;1;11;10;10
"Acanthurus bahianus";365;5742;2373;13;1;54;1,84423930824272;3,67894736842105;0,771990740740741;13;1356;17;61;64;19
"Acanthurus bariene";14;10313;594;17;1;0;0;0;0;0;0;0;47;39;10
"Acanthurus blochii";71;13418;1129;19;2;6;1,36892236074022;2,02;0,740740740740741;4;45;1;44;43;11
"Acanthurus chirurgus";207;7824;2092;15;2;25;1,82904858422342;3,75454545454545;0,7784;12;888;11;101;41;21
"Acanthurus chronixis";0;9689;374;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthurus coeruleus";679;120549;3331;19;6;36;1,81416416173504;3,09677419354839;0,761707988980716;13;836;13;54;54;10
"Acanthurus dussumieri";161;21406;1951;25;4;5;1,77823330579971;3,54;0,804733727810651;7;25;2;44;49;2
"Acanthurus fowleri";8;9427;624;0;0;0;0;0;0;0;0;0;0;0;0
"Acanthurus gahhm";15;19814;1551;0;0;4;1,67698777432242;3,525;0,790123456790123;6;31;2;81;22;3
"Acanthurus grammoptilus";8;10907;873;0;0;1;0;5,7;0;1;6;1;5;1;0
"Acanthurus guttatus";67;14403;1239;16;2;2;0,636514168294813;3,5;0,444444444444444;2;32;2;34;41;13
"Acanthurus leucocheilus";3;9336;796;0;0;0;0;0;0;0;0;0;16;12;6
"Acanthurus leucopareius";43;8388;1039;14;2;1;0,693147180559945;2,8;0,5;2;0;0;13;20;0
"Acanthurus leucosternon";354;93141;2292;29;8;12;2,21743487340305;4,45454545454545;0,847222222222222;13;17;2;241;236;22
"Acanthurus lineatus";316;51487;2055;27;15;18;1,47672994166704;4,3375;0,712580348943985;7;250;8;340;344;25
"Acanthurus maculiceps";13;11250;959;0;0;0;0;0;0;0;0;0;13;1;2
"Acanthurus mata";50;8690;1719;16;1;3;0,636514168294813;1,25;0,444444444444444;2;2;1;105;79;17
"Acanthurus nigricans";73;6475;1380;16;5;9;1,86423693641647;4,05555555555556;0,81994459833795;8;186;4;1309;1157;67
"Acanthurus nigricauda";28;15406;1494;15;1;4;1,27985422583367;2,75;0,7;4;5;1;72;58;12
"Acanthurus nigrofuscus";272;20824;1938;18;10;74;2,14964461914546;5,12181818181818;0,820324456688093;17;1396;22;1673;9918;19
"Acanthurus nigroris";18;13592;897;12;2;4;1,5498260458782;1,625;0,775510204081633;5;10;1;109;115;5
"Acanthurus nubilus";4;7859;534;0;0;0;0;0;0;0;0;0;8;6;1
"Acanthurus olivaceus";198;31823;1747;21;3;4;0,955699891112534;1,875;0,571428571428571;3;17;2;60;51;13
"Acanthurus pyroferus";80;19822;1183;17;1;3;0,673011667009257;2,56666666666667;0,48;2;124;3;43;29;13
"Acanthurus reversus";0;6491;452;0;0;0;0;0;0;0;0;0;133;37;4
"Acanthurus sohal";231;7590;2894;24;3;8;1,51749809498804;3,25;0,740740740740741;6;49;3;1231;5815;7
"Acanthurus tennentii";31;4043;1777;20;3;0;0;0;0;0;0;0;18;16;8
"Acanthurus thompsoni";9;12702;1018;16;0;0;0;0;0;0;0;0;30;33;12
"Acanthurus triostegus";655;46469;2222;28;14;69;2,40159072143752;4,925;0,852262234533703;24;1514;20;881;1275;29
"Acanthurus tristis";6;8624;870;0;0;0;0;0;0;0;0;0;2;1;1
"Acanthurus xanthopterus";163;7311;1536;18;2;18;2,00374471004579;2,65294117647059;0,821037253469686;11;82;4;95;77;16
"Achoerodus gouldii";6;10603;761;14;1;8;2,08312551975119;4,71428571428571;0,847645429362881;10;112;4;0;0;0
"Achoerodus viridis";224;16628;740;13;1;21;1,78762152714477;4,10833333333333;0,791551882460973;9;743;6;8;6;7
"Aetapcus maculatus";6;4139;1041;0;0;0;0;0;0;0;0;0;11;6;6
"Aethaloperca rogaa";38;12417;911;17;2;4;1,72019345921983;2,825;0,809917355371901;6;12;2;63;89;22
"Afurcagobius tamarensis";4;0;129;9;1;4;2,02622962299529;3,6;0,844444444444444;9;26;2;13;8;3
"Aioliops brachypterus";0;1;45;0;0;0;0;0;0;0;0;0;0;0;0
"Aioliops novaeguineae";0;0;31;0;0;0;0;0;0;0;0;0;10;5;4
"Albula glossodonta";7;4225;309;0;0;18;1,93240838028394;4,51764705882353;0,791195716835217;12;79;5;3746;28398;22
"Alectis ciliaris";72;8352;2433;22;9;29;3,16617249637938;3,43913043478261;0,942767950052029;31;184;8;91;277;36
"Alloclinus holderi";110;5274;255;0;0;2;1,33217904021012;1,6;0,72;4;6;1;15;11;10
"Allomycterus pilatus";1;1263;213;11;0;0;0;0;0;0;0;0;14;11;10
"Alphestes immaculatus";7;9823;493;0;0;1;0;0;0;0;0;0;10;7;4
"Altrichthys azurelineatus";0;0;70;8;1;2;1,33217904021012;4,7;0,72;4;14;1;29;20;5
"Altrichthys curatus";0;0;58;8;0;2;1,33217904021012;4,7;0,72;4;14;1;34;22;9
"Aluterus scriptus";669;56201;1790;0;0;6;2,00755630743784;2,3;0,836734693877551;9;88;3;76;92;32
"Amanses scopas";12;1503;344;0;0;4;0;2,5;0;1;10;2;98;128;30
"Ambassis jacksoniensis";6;8638;415;0;0;18;1,72385828029632;4,54;0,789256198347107;8;456;9;52;51;3
"Amblycirrhitus bimacula";3;323;373;0;0;0;0;0;0;0;0;0;24;21;7
"Amblycirrhitus earnshawi";1;0;29;0;0;0;0;0;0;0;0;0;0;0;0
"Amblycirrhitus pinos";66;2517;903;0;0;1;1,09861228866811;2,3;0,666666666666667;3;0;0;58;47;43
"Amblyeleotris fasciata";3;2;83;8;1;1;1,09861228866811;7,1;0,666666666666667;3;0;0;32;30;6
"Amblyeleotris guttata";89;4360;358;12;2;0;0;0;0;0;0;0;27;23;14
"Amblyeleotris gymnocephala";25;2;72;8;1;1;0;1,2;0;1;1;1;17;14;15
"Amblyeleotris japonica";67;2;70;0;0;2;1,09861228866811;4,3;0,666666666666667;3;0;0;1;0;0
"Amblyeleotris periophthalma";31;6493;516;0;0;0;0;0;0;0;0;0;7;7;5
"Amblyeleotris steinitzi";54;3204;832;0;0;11;1,76776147228933;3,87142857142857;0,793388429752066;7;69;4;30;29;6
"Amblyeleotris sungami";19;1;72;0;0;1;1,09861228866811;4,3;0,666666666666667;3;0;0;4;4;0
"Amblyeleotris wheeleri";62;3145;385;0;0;1;1,09861228866811;7,1;0,666666666666667;3;0;0;55;52;16
"Amblyglyphidodon aureus";127;11095;426;15;1;0;0;0;0;0;0;0;35;26;14
"Amblyglyphidodon batunaorum";3;0;0;0;0;1;0,693147180559945;10;0,5;2;5;1;7;5;0
"Amblyglyphidodon curacao";124;7776;202;12;1;23;2,53318817859841;3,985;0,873985938345051;20;159;7;199;138;17
"Amblyglyphidodon flavilatus";17;3189;492;9;1;0;0;0;0;0;0;0;9;9;2
"Amblyglyphidodon indicus";49;10196;200;12;0;2;1,09861228866811;3;0,666666666666667;3;0;0;29;24;1
"Amblyglyphidodon leucogaster";56;5179;205;12;1;12;1,62446453924237;3,18181818181818;0,756143667296786;7;127;7;57;41;15
"Amblyglyphidodon melanopterus";0;0;69;8;0;0;0;0;0;0;0;0;7;7;0
"Amblyglyphidodon orbicularis";6;0;69;8;0;1;0;5,2;0;1;0;0;99;13;9
"Amblyglyphidodon ternatensis";4;0;78;9;1;0;0;0;0;0;0;0;14;9;7
"Amblygobius buanensis";1;0;98;0;0;0;0;0;0;0;0;0;1;1;1
"Amblygobius bynoensis";3;0;72;0;0;5;1,06085694715802;4,5;0,641975308641975;3;57;3;0;0;0
"Amblygobius decussatus";11;5267;227;0;0;0;0;0;0;0;0;0;13;11;3
"Amblygobius nocturnus";6;0;94;0;0;2;1,09861228866811;2,7;0,666666666666667;3;20;2;16;14;9
"Amblygobius phalaena";121;10301;743;0;0;10;1,17105986999037;3,2;0,648888888888889;4;90;4;126;64;25
"Amblyrhynchote honckenii";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ammodytes tobianus";70;6065;2512;27;14;54;2,38125356624357;3,96444444444444;0,836853382307928;27;705;15;82;33;11
"Amphichaetodon howensis";6;1363;502;0;0;0;0;0;0;0;0;0;5;2;5
"Amphichthys cryptocentrus";0;2102;472;10;3;7;2,15006022448424;2,2;0,865051903114187;10;34;3;43;0;1
"Amphiprion akallopisos";167;23377;1586;17;1;10;0,661563238157982;4,1;0,46875;2;246;6;166;94;16
"Amphiprion akindynos";96;43792;1779;15;1;17;1,73476452102578;3,65714285714286;0,780612244897959;8;261;8;96;37;26
"Amphiprion allardi";43;10098;1284;16;1;1;0;4,1;0;1;23;1;24;18;14
"Amphiprion biaculeatus";375;0;673;0;0;27;2,44812406494215;3,9952380952381;0,867971678467305;18;360;11;282;299;70
"Amphiprion bicinctus";705;10856;2181;20;1;24;2,25925345476667;4,72105263157895;0,847645429362881;15;484;11;299;243;21
"Amphiprion chrysopterus";134;8787;1337;17;0;18;1,7160770873199;5,42666666666667;0,747448979591837;9;204;7;530;444;18
"Amphiprion clarkii";1148;15905;4412;24;3;132;2,5586023198772;4,20990099009901;0,857257912964106;35;1863;24;1664;756;52
"Amphiprion ephippium";36;9046;1206;16;2;3;0,693147180559945;0,55;0,5;2;51;2;67;46;15
"Amphiprion frenatus";459;10843;2443;23;4;52;2,46855210121254;3,69090909090909;0,838063035865234;28;500;15;91;81;32
"Amphiprion fuscocaudatus";11;10961;1041;15;1;0;0;0;0;0;0;0;0;0;0
"Amphiprion latezonatus";15;14735;1816;16;1;9;1,19884931291362;3,75714285714286;0,652777777777778;4;63;4;140;4;14
"Amphiprion leucokranos";2;12151;1190;15;2;4;1,74786809746676;2,975;0,816326530612245;6;25;2;159;153;16
"Amphiprion mccullochi";16;15494;1240;15;1;4;1,33217904021012;4,6;0,72;4;14;2;81;8;14
"Amphiprion melanopus";534;11495;1826;20;3;76;2,94180117613826;4,82982456140351;0,908839613004026;35;2360;24;218;103;28
"Amphiprion nigripes";208;20287;1399;19;1;3;1,79175946922805;1,06666666666667;0,833333333333333;6;9;1;35;27;15
"Amphiprion ocellaris";2176;31002;7803;35;21;180;3,13842597649416;4,23809523809524;0,90798828125;55;1804;25;54896;47496;47
"Amphiprion percula";635;29047;4429;29;4;105;2,75626104251149;5,22168674698795;0,891292590589508;33;3185;28;371;246;21
"Amphiprion perideraion";666;13767;2621;22;1;20;2,20730556126013;3,21052631578947;0,853333333333333;14;266;9;367;95;36
"Amphiprion rubrocinctus";9;7492;1145;14;1;0;0;0;0;0;0;0;14;6;14
"Amphiprion sandaracinos";187;8336;1830;18;1;4;1,67698777432242;3,325;0,790123456790123;6;119;2;508;384;31
"Anampses caeruleopunctatus";56;3033;1234;13;1;2;1,38629436111989;1,2;0,75;4;10;1;57;39;18
"Anampses cuvier";23;0;678;11;1;0;0;0;0;0;0;0;7;2;4
"Anampses elegans";5;2191;516;13;1;0;0;0;0;0;0;0;7;2;4
"Anampses femininus";10;0;483;13;1;0;0;0;0;0;0;0;4;1;4
"Anampses geographicus";5;0;887;14;1;1;0,693147180559945;0,6;0,5;2;0;0;23;15;15
"Anampses lennardi";2;0;388;13;1;0;0;0;0;0;0;0;5;2;4
"Anampses lineatus";8;2685;548;14;1;0;0;0;0;0;0;0;26;17;12
"Anampses melanurus";13;0;436;13;1;0;0;0;0;0;0;0;11;7;5
"Anampses meleagrides";32;3264;541;14;1;0;0;0;0;0;0;0;50;36;17
"Anampses neoguinaicus";5;0;868;14;1;1;0;3,1;0;1;34;1;21;12;10
"Anampses twistii";17;2565;1069;15;1;2;0,693147180559945;2,3;0,5;2;0;0;41;25;15
"Anarrhichthys ocellatus";398;15703;1969;0;0;10;1,80195113979326;1,98888888888889;0,796296296296296;8;0;0;0;0;0
"Anisotremus caesius";1;0;46;0;0;0;0;0;0;0;0;0;30;20;9
"Anisotremus davidsonii";15;121;185;0;0;5;2,09472904752765;4,12;0,861111111111111;9;59;3;44;27;8
"Anisotremus interruptus";23;2635;549;0;0;6;1,97920451743432;1,71666666666667;0,847222222222222;8;16;2;1064;842;18
"Anisotremus scapularis";10;0;638;0;0;15;2,08541770420331;1,98571428571429;0,841836734693878;11;39;3;131;170;27
"Anisotremus surinamensis";156;2782;787;0;0;7;1,49417513828931;3,98;0,75;5;536;4;266;96;28
"Anisotremus taeniatus";11;0;44;0;0;0;0;0;0;0;0;0;92;62;14
"Anisotremus virginicus";532;39690;1279;11;4;12;2,52392203290018;2,50909090909091;0,909090909090909;14;22;3;0;0;0
"Anoplocapros amygdaloides";1;0;86;0;0;0;0;0;0;0;0;0;6;6;5
"Anoplocapros inermis";88;0;108;0;0;1;0;4,1;0;1;0;0;14;12;11
"Anoplocapros lenticularis";14;5523;176;9;2;1;0;0;0;0;1;1;34;58;31
"Anyperodon leucogrammicus";89;4166;1181;17;2;1;1,09861228866811;7,1;0,666666666666667;3;73;1;59;67;21
"Aphareus furca";10;5788;1106;0;0;2;0;0;0;0;13;1;40;30;15
"Aphareus rutilans";5;2912;1012;0;0;2;0,636514168294813;3,45;0,444444444444444;2;0;0;0;0;0
"Aploactisoma milesii";51;2933;541;0;0;0;0;0;0;0;0;0;6;1;6
"Aplodactylus arctidens";8;6217;521;0;0;12;2,12020822394067;4,23333333333333;0,858024691358025;10;378;7;0;0;0
"Aplodactylus etheridgii";3;1826;515;0;0;5;1,25548232517875;3,93333333333333;0,6875;4;140;5;8;8;8
"Aplodactylus lophodon";37;341;666;0;0;5;1,52295506753132;4,66666666666667;0,765432098765432;5;39;2;4;3;2
"Aplodactylus westralis";0;902;490;0;0;0;0;0;0;0;0;0;2;2;2
"Apogon atradorsatus";11;2259;152;0;0;1;0,693147180559945;2,3;0,5;2;20;1;52;48;7
"Apogon atricaudus";0;0;93;0;0;0;0;0;0;0;0;0;30;30;3
"Apogon binotatus";21;0;81;0;0;1;1,09861228866811;8,2;0,666666666666667;3;0;0;50;48;12
"Apogon dovii";0;517;238;0;0;1;0,693147180559945;3,7;0,5;2;39;1;99;98;3
"Apogon imberbis";633;17553;2686;18;7;19;1,67140511960937;4,14285714285714;0,780437044745057;7;321;12;37;24;6
"Apogon lachneri";7;0;78;0;0;0;0;0;0;0;0;0;19;19;3
"Apogon maculatus";219;15279;336;0;0;1;1,09861228866811;2,3;0,666666666666667;3;0;0;127;124;22
"Apogon pacificus";0;0;86;0;0;2;0,636514168294813;2,75;0,444444444444444;2;19;1;22;19;3
"Apogon retrosella";3;0;85;0;0;0;0;0;0;0;0;0;59;58;3
"Apogon townsendi";28;1960;380;0;0;0;0;0;0;0;0;0;44;43;3
"Apogonichthyoides timorensis";3;0;29;0;0;1;0,693147180559945;1,7;0,5;2;0;0;18;15;5
"Apolemichthys trimaculatus";84;10971;658;0;0;2;0,693147180559945;1,7;0,5;2;1;1;47;48;14
"Aprion virescens";15;5408;1443;0;0;16;1,98904703662674;3,4375;0,801426872770511;11;147;5;63;34;22
"Aracana aurita";75;10891;498;0;0;0;0;0;0;0;0;0;45;42;41
"Aracana ornata";46;12974;428;0;0;0;0;0;0;0;0;0;11;7;10
"Archamia bleekeri";10;4488;161;9;0;4;1,07899220787758;1,75;0,653061224489796;3;13;1;18;15;6
"Arcos poecilophthalmos";1;0;29;0;0;0;0;0;0;0;0;0;0;0;0
"Arenigobius frenatus";11;4006;256;0;0;4;1,38629436111989;4,4;0,75;4;49;2;4;1;3
