"fb_sci_name";"name";"type"
"Abalistes stellatus";"Abalistes stellatus";"acc"
"Abalistes stellatus";"Abalistes stellaris";"syn"
"Abalistes stellatus";"Balistes stellaris";"syn"
"Abalistes stellatus";"Balistes stellatus";"syn"
"Abalistes stellatus";"Balistes vachellii";"syn"
"Abudefduf abdominalis";"Abudefduf abdominalis";"acc"
"Abudefduf abdominalis";"Glyphisodon abdominalis";"syn"
"Abudefduf bengalensis";"Abudefduf bengalensis";"acc"
"Abudefduf bengalensis";"Chaetodon bengalensis";"syn"
"Abudefduf bengalensis";"Glyphidodon affinis";"syn"
"Abudefduf bengalensis";"Glyphidodon bengalensis";"syn"
"Abudefduf bengalensis";"Glyphisodon bengalensis";"syn"
"Abudefduf bengalensis";"Glyphisodon palmeri";"syn"
"Abudefduf bengalensis";"Labrus macrogaster";"syn"
"Abudefduf concolor";"Abudefduf concolor";"acc"
"Abudefduf concolor";"Euschistodus concolor";"syn"
"Abudefduf concolor";"Nexilarius concolor";"syn"
"Abudefduf concolor";"Pomacentrus robustus";"syn"
"Abudefduf conformis";"Abudefduf conformis";"acc"
"Abudefduf notatus";"Abudefduf notatus";"acc"
"Abudefduf notatus";"Abudefduf clarki";"syn"
"Abudefduf notatus";"Chrysiptera paucifasciata";"syn"
"Abudefduf notatus";"Glyphidodon notatus";"syn"
"Abudefduf notatus";"Indoglyphidodon abbotti";"syn"
"Abudefduf saxatilis";"Abudefduf saxatilis";"acc"
"Abudefduf saxatilis";"Abudefduf ascensionis";"syn"
"Abudefduf saxatilis";"Abudefduf marginatus";"syn"
"Abudefduf saxatilis";"Abudefduf sexatilis";"syn"
"Abudefduf saxatilis";"Chaetodon marginatus";"syn"
"Abudefduf saxatilis";"Chaetodon mauritii";"syn"
"Abudefduf saxatilis";"Chaetodon sargoides";"syn"
"Abudefduf saxatilis";"Chaetodon saxatilis";"syn"
"Abudefduf saxatilis";"Glyphidodon saxatilis";"syn"
"Abudefduf saxatilis";"Glyphisodon biniar";"syn"
"Abudefduf saxatilis";"Glyphisodon moucharra";"syn"
"Abudefduf saxatilis";"Glyphisodon saxatilis";"syn"
"Abudefduf septemfasciatus";"Abudefduf septemfasciatus";"acc"
"Abudefduf septemfasciatus";"Abudefduf multifasciatus";"syn"
"Abudefduf septemfasciatus";"Abudefduf paee";"syn"
"Abudefduf septemfasciatus";"Chaetodon rotundus";"syn"
"Abudefduf septemfasciatus";"Glyphisodon septemfasciatus";"syn"
"Abudefduf sexfasciatus";"Abudefduf sexfasciatus";"acc"
"Abudefduf sexfasciatus";"Abudefduf coelestinus";"syn"
"Abudefduf sexfasciatus";"Glyphidodon caelestinus";"syn"
"Abudefduf sexfasciatus";"Glyphisodon coelestinus";"syn"
"Abudefduf sexfasciatus";"Labrus sexfasciatus";"syn"
"Abudefduf sordidus";"Abudefduf sordidus";"acc"
"Abudefduf sordidus";"Abudefduf tridentatus";"syn"
