colnames;keep
Species;FALSE
SpecCode.x;FALSE
Genus;FALSE
SpeciesRefNo;FALSE
Author;FALSE
FBname;FALSE
PicPreferredName;TRUE
PicPreferredNameM;TRUE
PicPreferredNameF;TRUE
PicPreferredNameJ;TRUE
FamCode;FALSE
Subfamily;FALSE
GenCode;FALSE
SubGenCode;FALSE
BodyShapeI;TRUE
Source;FALSE
AuthorRef;FALSE
Remark;FALSE
TaxIssue;FALSE
Fresh;TRUE
Brack;TRUE
Saltwater;TRUE
DemersPelag;TRUE
AirBreathing;TRUE
AirBreathingRef;FALSE
AnaCat;TRUE
MigratRef;FALSE
DepthRangeShallow;TRUE
DepthRangeDeep;TRUE
DepthRangeRef;FALSE
DepthRangeComShallow;TRUE
DepthRangeComDeep;TRUE
DepthComRef;FALSE
LongevityWild;TRUE
LongevityWildRef;FALSE
LongevityCaptive;TRUE
LongevityCapRef;FALSE
Vulnerability;TRUE
VulnerabilityClimate;TRUE
Length;TRUE
LTypeMaxM;TRUE
LengthFemale;TRUE
LTypeMaxF;TRUE
MaxLengthRef;FALSE
CommonLength;TRUE
LTypeComM;TRUE
CommonLengthF;TRUE
LTypeComF;TRUE
CommonLengthRef;FALSE
Weight;TRUE
WeightFemale;TRUE
MaxWeightRef;FALSE
Pic;TRUE
PictureFemale;TRUE
LarvaPic;TRUE
EggPic;TRUE
ImportanceRef;FALSE
Importance;TRUE
PriceCateg;TRUE
PriceReliability;TRUE
Remarks7;FALSE
LandingStatistics;TRUE
Landings;TRUE
MainCatchingMethod;TRUE
II;FALSE
MSeines;TRUE
MGillnets;TRUE
MCastnets;TRUE
MTraps;TRUE
MSpears;TRUE
MTrawls;TRUE
MDredges;TRUE
MLiftnets;TRUE
MHooksLines;TRUE
MOther;TRUE
UsedforAquaculture;TRUE
LifeCycle;TRUE
AquacultureRef;FALSE
UsedasBait;TRUE
BaitRef;FALSE
Aquarium;TRUE
AquariumFishII;TRUE
AquariumRef;TRUE
GameFish;TRUE
GameRef;FALSE
Dangerous;TRUE
DangerousRef;FALSE
Electrogenic;TRUE
ElectroRef;FALSE
Complete;TRUE
GoogleImage;TRUE
Comments;TRUE
Profile;TRUE
PD50;TRUE
Emblematic;TRUE
Entered.x;FALSE
DateEntered.x;FALSE
Modified.x;FALSE
DateModified.x;FALSE
Expert.x;FALSE
DateChecked.x;FALSE
TS.x;FALSE
SpecCode.y;FALSE
StockCode;FALSE
SynOC;FALSE
StockDefs;TRUE
StockDefsGeneral;TRUE
Level;TRUE
LocalUnique;TRUE
IUCN_Code;TRUE
IUCN_Assessment;FALSE
IUCN_DateAssessed;FALSE
Protected;TRUE
StocksRefNo;FALSE
CITES_Code;TRUE
CITES_Date;FALSE
CITES_Ref;FALSE
CITES_Remarks;FALSE
CMS;TRUE
Northernmost;TRUE
NorthSouthN;TRUE
Southermost;TRUE
NorthSouthS;TRUE
Westernmost;TRUE
WestEastW;TRUE
Easternmost;TRUE
WestEastE;TRUE
BoundingRef;FALSE
BoundingMethod;TRUE
TempMin;TRUE
TempMax;TRUE
TempRef;FALSE
TempPreferred;TRUE
TempPref25;TRUE
TempPref50;TRUE
TempPref75;TRUE
TempPrefRef;FALSE
EnvTemp;TRUE
Resilience;TRUE
ResilienceRemark;FALSE
pHMin;TRUE
pHMax;TRUE
pHRef;TRUE
dHMin;TRUE
dHMax;TRUE
dHRef;FALSE
GenBankID;TRUE
RfeID;TRUE
FIGIS_ID;TRUE
EcotoxID;TRUE
SCRFA_data;TRUE
GMAD_ID;TRUE
SAUP;TRUE
SAUP_ID;TRUE
SAUP_Group;TRUE
AusMuseum;TRUE
FishTrace;TRUE
IUCN_ID;FALSE
IUCN_IDAssess;FALSE
BOLD_ID;TRUE
IGFAName;TRUE
EssayID;TRUE
ICESStockID;TRUE
OsteoBaseID;TRUE
DORIS_ID;TRUE
FishipediaID;TRUE
SocotraAtlasID;TRUE
AFORO_ID;TRUE
MitoRef;FALSE
FishSounds_ID;TRUE
FishSounds;TRUE
Aquamaps;TRUE
Morphology;TRUE
Occurrence;TRUE
Strains;TRUE
Ecology;TRUE
Diseases;TRUE
Abnorm;TRUE
Metabolism;TRUE
Predators;TRUE
Spawning;TRUE
Fecundity;TRUE
Speed;TRUE
Diet;TRUE
Eggs;TRUE
EggDevelop;TRUE
Food;TRUE
Larvae;TRUE
LarvDyn;TRUE
LarvSpeed;TRUE
PopDyn;TRUE
LengthWeight;TRUE
Gillarea;TRUE
Maturity;TRUE
MatSizes;TRUE
Processing;TRUE
Reproduction;TRUE
Introductions;TRUE
Abundance;TRUE
Vision;TRUE
Genetics;TRUE
Aquaculture;TRUE
CountryComp;TRUE
Allele;TRUE
GeneticStudies;TRUE
Ration;TRUE
Foods;TRUE
Ecotoxicology;TRUE
Brains;TRUE
Catches;TRUE
FAOAqua;TRUE
LengthRelations;TRUE
LengthFrequency;TRUE
Sounds;TRUE
Broodstock;TRUE
EggNursery;TRUE
FryNursery;TRUE
LarvalNursery;TRUE
Entered.y;FALSE
DateEntered.y;FALSE
Modified.y;FALSE
DateModified.y;FALSE
Expert.y;FALSE
DateChecked.y;FALSE
TS.y;FALSE
