"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Abalistes stellatus";90;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";" "
"Abudefduf abdominalis";94;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Abudefduf bengalensis";97;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Abudefduf concolor";92;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Abudefduf conformis";203;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Abudefduf notatus";99;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Abudefduf saxatilis";75;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Abudefduf septemfasciatus";95;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Abudefduf sexfasciatus";88;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Abudefduf sordidus";84;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Abudefduf sparoides";97;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Abudefduf troschelii";90;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Abudefduf vaigiensis";75;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Abudefduf whitleyi";93;NA;"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Acanthaluteres brownii";215;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthaluteres spilomelanurus";118;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthaluteres vittiger";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthemblemaria atrata";238;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthemblemaria castroi";212;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthemblemaria crockeri";114;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthemblemaria hancocki";114;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthemblemaria spinosa";215;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthemblemaria stephensi";138;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Acanthistius cinctus";221;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Acanthistius ocellatus";206;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Acanthistius pardalotus";117;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Acanthistius patachonicus";223;NA;"DD";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Acanthistius sebastoides";205;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Acanthistius serratus";210;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Acanthochromis polyacanthus";92;NA;"LC";NA;"never/rarely";"unknown";NA;NA
"Acanthopagrus australis";96;"commercial";"LC";"never/rarely";"commercial";"very high";"never/rarely";NA
"Acanthopagrus latus";89;NA;"DD";"never/rarely";"commercial";NA;"never/rarely";NA
"Acanthostracion polygonium";91;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Acanthostracion quadricornis";90;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Acanthurus achilles";88;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus albipectoralis";101;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Acanthurus auranticavus";100;"commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Acanthurus bahianus";118;NA;"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Acanthurus bariene";94;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus blochii";88;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus chirurgus";71;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus chronixis";230;"of no interest";"VU";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Acanthurus coeruleus";77;"minor commercial";"LC";"occasionally";"never/rarely";"medium";"commercial";"based mainly on capture"
