rls_sci_name;GG_ref_nb;GG_ref_cit
Abudefduf_luridus;511;NA
Arripis_georgianus;702;NA
Carangoides_bartholomaei;490;NA
Cheilodactylus_ephippium;72;NA
Cheilodactylus_francisi;321;NA
Cheilodactylus_fuscus;427;NA
Cheilodactylus_gibbosus;124;NA
Cheilodactylus_nigripes;180;NA
Cheilodactylus_plessisi;40;NA
Cheilodactylus_rubrolabiatus;110;NA
Cheilodactylus_spectabilis;537;NA
Cheilodactylus_vestitus;70;NA
Cheilodactylus_zebra;242;NA
Cheilodactylus_zonatus;101;NA
Gobiusculus_flavescens;1910;NA
Kyphosus_analogus;17500;NA
Liza_luciae;326;NA
Ostracion_cubicus;1020;NA
Ostracion_immaculatus;416;NA
Ostracion_solorensis;69;NA
Stephanolepis_hispidus;1180;NA
Stichaeus_punctatus_punctatus;524;NA
Thysanophrys_cirronasa;16;NA
Tripterygion_melanurum;222;NA
Tylosurus_crocodilus_crocodilus;1620;NA
