"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Abalistes stellatus";262;3579
"Abudefduf abdominalis";407;15899
"Abudefduf bengalensis";270;6097
"Abudefduf concolor";96;1653
"Abudefduf conformis";14;67
"Abudefduf notatus";111;1734
"Abudefduf saxatilis";2130;69868
"Abudefduf septemfasciatus";232;4910
"Abudefduf sexfasciatus";722;17902
"Abudefduf sordidus";536;14534
"Abudefduf sparoides";83;2533
"Abudefduf troschelii";388;8396
"Abudefduf vaigiensis";986;23952
"Abudefduf whitleyi";97;2790
"Acanthaluteres brownii";67;2583
"Acanthaluteres spilomelanurus";197;5656
"Acanthaluteres vittiger";172;5046
"Acanthemblemaria atrata";20;281
"Acanthemblemaria castroi";46;1407
"Acanthemblemaria crockeri";114;2883
"Acanthemblemaria hancocki";29;469
"Acanthemblemaria spinosa";180;6530
"Acanthemblemaria stephensi";14;188
"Acanthistius cinctus";43;1088
"Acanthistius ocellatus";55;2016
"Acanthistius pardalotus";13;133
"Acanthistius patachonicus";131;3115
"Acanthistius sebastoides";39;750
"Acanthistius serratus";37;1168
"Acanthochromis polyacanthus";1726;76903
"Acanthopagrus australis";1861;59573
"Acanthopagrus latus";3408;77598
"Acanthostracion polygonius";365;9276
"Acanthostracion quadricornis";694;18569
"Acanthurus achilles";299;7760
"Acanthurus albipectoralis";62;749
"Acanthurus auranticavus";120;2339
"Acanthurus bahianus";1554;58308
"Acanthurus bariene";92;1924
"Acanthurus blochii";349;7502
"Acanthurus chirurgus";1197;32191
"Acanthurus chronixis";14;228
"Acanthurus coeruleus";1288;41599
"Acanthurus dussumieri";443;11962
"Acanthurus fowleri";27;660
"Acanthurus gahhm";123;4088
"Acanthurus grammoptilus";110;1501
"Acanthurus guttatus";206;6363
"Acanthurus leucocheilus";71;701
"Acanthurus leucopareius";158;5464
"Acanthurus leucosternon";396;25243
"Acanthurus lineatus";934;28295
"Acanthurus maculiceps";72;1311
"Acanthurus mata";419;10944
"Acanthurus nigricans";546;13188
"Acanthurus nigricauda";341;7767
"Acanthurus nigrofuscus";1388;55198
"Acanthurus nigroris";260;9986
"Acanthurus nubilus";46;768
"Acanthurus olivaceus";421;8957
"Acanthurus pyroferus";268;5693
"Acanthurus reversus";10;173
"Acanthurus sohal";416;25998
"Acanthurus tennentii";102;2817
"Acanthurus thompsoni";228;5244
"Acanthurus triostegus";1911;90406
"Acanthurus tristis";58;653
"Acanthurus xanthopterus";712;15316
"Achoerodus gouldii";247;7302
"Achoerodus viridis";367;17375
"Aetapcus maculatus";29;724
"Aethaloperca rogaa";345;5631
"Afurcagobius tamarensis";158;3619
"Aioliops brachypterus";0;0
"Aioliops novaeguineae";2;91
"Albula glossodonta";237;6583
"Alectis ciliaris";1370;25250
"Alloclinus holderi";85;3714
"Allomycterus pilatus";48;1114
"Alphestes immaculatus";194;5621
"Altrichthys azurelineatus";16;497
"Altrichthys curatus";16;614
"Aluterus scriptus";1058;28731
"Amanses scopas";161;3638
"Ambassis jacksoniensis";202;5957
"Amblycirrhitus bimacula";75;2360
"Amblycirrhitus earnshawi";8;260
"Amblycirrhitus pinos";264;9407
"Amblyeleotris fasciata";37;1114
"Amblyeleotris guttata";53;1292
"Amblyeleotris gymnocephala";42;2752
"Amblyeleotris japonica";68;1129
"Amblyeleotris periophthalma";62;1563
"Amblyeleotris steinitzi";137;5186
"Amblyeleotris sungami";35;933
"Amblyeleotris wheeleri";70;1726
"Amblyglyphidodon aureus";156;4113
"Amblyglyphidodon batunai";28;226
"Amblyglyphidodon curacao";421;12130
"Amblyglyphidodon flavilatus";36;583
"Amblyglyphidodon indicus";27;350
"Amblyglyphidodon leucogaster";357;8884
"Amblyglyphidodon melanopterus";3;109
"Amblyglyphidodon orbicularis";13;236
"Amblyglyphidodon ternatensis";36;976
"Amblygobius buanensis";10;446
"Amblygobius bynoensis";41;1570
"Amblygobius decussatus";53;1536
"Amblygobius nocturnus";68;1810
"Amblygobius phalaena";257;7235
"Amblyrhynchotes honckenii";156;3206
"Ammodytes tobianus";1770;59791
"Amphichaetodon howensis";46;2953
"Amphichthys cryptocentrus";137;3596
"Amphiprion akallopisos";498;26884
"Amphiprion akindynos";198;6446
"Amphiprion allardi";84;2626
"Amphiprion bicinctus";441;18256
"Amphiprion chrysopterus";183;7951
"Amphiprion clarkii";1653;49728
"Amphiprion ephippium";105;2347
