"fb_sci_name","gbif_valid_key","gbif_valid_name","gbif_synonym"
"Abalistes stellatus",2407216,"Abalistes stellatus",FALSE
"Abudefduf abdominalis",2398692,"Abudefduf abdominalis",FALSE
"Abudefduf bengalensis",2398657,"Abudefduf bengalensis",FALSE
"Abudefduf concolor",2398689,"Abudefduf concolor",FALSE
"Abudefduf conformis",2398622,"Abudefduf conformis",FALSE
"Similiparma lurida",8873604,"Similiparma lurida",FALSE
"Abudefduf notatus",2398703,"Abudefduf notatus",FALSE
"Abudefduf saxatilis",2398623,"Abudefduf saxatilis",FALSE
"Abudefduf septemfasciatus",2398628,"Abudefduf septemfasciatus",FALSE
"Abudefduf sexfasciatus",2398669,"Abudefduf sexfasciatus",FALSE
"Abudefduf sordidus",2398682,"Abudefduf sordidus",FALSE
"Abudefduf sparoides",2398625,"Abudefduf sparoides",FALSE
"Abudefduf troschelii",2398672,"Abudefduf troschelii",FALSE
"Abudefduf vaigiensis",2398634,"Abudefduf vaigiensis",FALSE
"Abudefduf whitleyi",2398633,"Abudefduf whitleyi",FALSE
"Acanthaluteres brownii",2406699,"Acanthaluteres brownii",FALSE
"Acanthaluteres spilomelanurus",2406696,"Acanthaluteres spilomelanurus",FALSE
"Acanthaluteres vittiger",2406702,"Acanthaluteres vittiger",FALSE
"Acanthemblemaria atrata",2381373,"Acanthemblemaria atrata",FALSE
"Acanthemblemaria castroi",2381381,"Acanthemblemaria castroi",FALSE
"Acanthemblemaria crockeri",2381377,"Acanthemblemaria crockeri",FALSE
"Acanthemblemaria hancocki",2381370,"Acanthemblemaria hancocki",FALSE
"Acanthemblemaria spinosa",2381382,"Acanthemblemaria spinosa",FALSE
"Acanthemblemaria stephensi",2381388,"Acanthemblemaria stephensi",FALSE
"Acanthistius cinctus",2388070,"Acanthistius cinctus",FALSE
"Acanthistius ocellatus",2388075,"Acanthistius ocellatus",FALSE
"Acanthistius pardalotus",2388082,"Acanthistius pardalotus",FALSE
"Acanthistius patachonicus",2388064,"Acanthistius patachonicus",FALSE
"Acanthistius sebastoides",2388078,"Acanthistius sebastoides",FALSE
"Acanthistius serratus",2388068,"Acanthistius serratus",FALSE
"Acanthochromis polyacanthus",5212126,"Acanthochromis polyacanthus",FALSE
"Acanthopagrus australis",2392280,"Acanthopagrus australis",FALSE
"Acanthopagrus latus",2392281,"Acanthopagrus latus",FALSE
"Acanthostracion polygonium",2408186,"Acanthostracion polygonium",FALSE
"Acanthostracion quadricornis",2408197,"Acanthostracion quadricornis",FALSE
"Acanthurus achilles",5209178,"Acanthurus achilles",FALSE
"Acanthurus albipectoralis",5209262,"Acanthurus albipectoralis",FALSE
"Acanthurus auranticavus",5209158,"Acanthurus auranticavus",FALSE
"Acanthurus bahianus",5209181,"Acanthurus bahianus",FALSE
"Acanthurus bariene",5209156,"Acanthurus bariene",FALSE
"Acanthurus blochii",5209203,"Acanthurus blochii",FALSE
"Acanthurus chirurgus",5209174,"Acanthurus chirurgus",FALSE
"Acanthurus chronixis",5209195,"Acanthurus chronixis",FALSE
"Acanthurus coeruleus",5209188,"Acanthurus coeruleus",FALSE
"Acanthurus dussumieri",5209167,"Acanthurus dussumieri",FALSE
"Acanthurus fowleri",5209155,"Acanthurus fowleri",FALSE
"Acanthurus gahhm",5209159,"Acanthurus gahhm",FALSE
