"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_05"
"Abalistes stellatus","Abalistes stellatus",2407216,FALSE,4072,354
"Abudefduf abdominalis","Abudefduf abdominalis",2398692,FALSE,776,40
"Abudefduf bengalensis","Abudefduf bengalensis",2398657,FALSE,1110,161
"Abudefduf concolor","Abudefduf concolor",2398689,FALSE,146,43
"Abudefduf conformis","Abudefduf conformis",2398622,FALSE,12,7
"Abudefduf notatus","Abudefduf notatus",2398703,FALSE,91,43
"Abudefduf saxatilis","Abudefduf saxatilis",2398623,FALSE,7356,296
"Abudefduf septemfasciatus","Abudefduf septemfasciatus",2398628,FALSE,377,132
"Abudefduf sexfasciatus","Abudefduf sexfasciatus",2398669,FALSE,2146,340
"Abudefduf sordidus","Abudefduf sordidus",2398682,FALSE,1173,208
"Abudefduf sparoides","Abudefduf sparoides",2398625,FALSE,100,26
"Abudefduf troschelii","Abudefduf troschelii",2398672,FALSE,1128,120
"Abudefduf vaigiensis","Abudefduf vaigiensis",2398634,FALSE,2657,491
"Abudefduf whitleyi","Abudefduf whitleyi",2398633,FALSE,358,47
"Acanthaluteres brownii","Acanthaluteres brownii",2406699,FALSE,246,37
"Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",2406696,FALSE,470,56
"Acanthaluteres vittiger","Acanthaluteres vittiger",2406702,FALSE,1691,107
"Acanthemblemaria atrata","Acanthemblemaria atrata",2381373,FALSE,8,4
"Acanthemblemaria castroi","Acanthemblemaria castroi",2381381,FALSE,12,8
"Acanthemblemaria crockeri","Acanthemblemaria crockeri",2381377,FALSE,23,17
"Acanthemblemaria hancocki","Acanthemblemaria hancocki",2381370,FALSE,35,16
"Acanthemblemaria spinosa","Acanthemblemaria spinosa",2381382,FALSE,231,53
"Acanthemblemaria stephensi","Acanthemblemaria stephensi",2381388,FALSE,1,1
"Acanthistius cinctus","Acanthistius cinctus",2388070,FALSE,137,15
"Acanthistius ocellatus","Acanthistius ocellatus",2388075,FALSE,792,55
"Acanthistius pardalotus","Acanthistius pardalotus",2388082,FALSE,10,5
"Acanthistius patachonicus","Acanthistius patachonicus",2388064,FALSE,69,9
"Acanthistius sebastoides","Acanthistius sebastoides",2388078,FALSE,69,15
"Acanthistius serratus","Acanthistius serratus",2388068,FALSE,47,13
"Acanthochromis polyacanthus","Acanthochromis polyacanthus",5212126,FALSE,4150,127
"Acanthopagrus australis","Acanthopagrus australis",2392280,FALSE,22327,88
"Acanthopagrus latus","Acanthopagrus latus",2392281,FALSE,77,18
"Acanthostracion polygonium","Acanthostracion polygonium",2408186,FALSE,1,1
"Acanthostracion quadricornis","Acanthostracion quadricornis",2408197,FALSE,1497,216
"Acanthurus achilles","Acanthurus achilles",5209178,FALSE,1379,105
"Acanthurus albipectoralis","Acanthurus albipectoralis",5209262,FALSE,350,76
"Acanthurus auranticavus","Acanthurus auranticavus",5209158,FALSE,221,70
"Acanthurus bahianus","Acanthurus bahianus",5209181,FALSE,14441,189
"Acanthurus bariene","Acanthurus bariene",5209156,FALSE,55,30
"Acanthurus blochii","Acanthurus blochii",5209203,FALSE,3918,283
"Acanthurus chirurgus","Acanthurus chirurgus",5209174,FALSE,9091,163
"Acanthurus chronixis","Acanthurus chronixis",5209195,FALSE,1,1
"Acanthurus coeruleus","Acanthurus coeruleus",5209188,FALSE,16382,215
"Acanthurus dussumieri","Acanthurus dussumieri",5209167,FALSE,3233,272
"Acanthurus fowleri","Acanthurus fowleri",5209155,FALSE,50,22
"Acanthurus gahhm","Acanthurus gahhm",5209159,FALSE,46,19
"Acanthurus grammoptilus","Acanthurus grammoptilus",5209243,FALSE,1040,127
"Acanthurus guttatus","Acanthurus guttatus",5209152,FALSE,784,127
"Acanthurus leucocheilus","Acanthurus leucocheilus",5209259,FALSE,353,59
"Acanthurus leucopareius","Acanthurus leucopareius",5209183,FALSE,1701,71
"Acanthurus leucosternon","Acanthurus leucosternon",5209210,FALSE,483,104
"Acanthurus lineatus","Acanthurus lineatus",5209244,FALSE,4057,385
"Acanthurus maculiceps","Acanthurus maculiceps",5209257,FALSE,368,45
"Acanthurus mata","Acanthurus mata",5209204,FALSE,722,179
"Acanthurus nigricans","Acanthurus nigricans",5209162,FALSE,5565,342
"Acanthurus nigricauda","Acanthurus nigricauda",5209160,FALSE,2251,287
"Acanthurus nigrofuscus","Acanthurus nigrofuscus",5209227,FALSE,10457,398
"Acanthurus nigroris","Acanthurus nigroris",5209231,FALSE,2938,155
"Acanthurus nubilus","Acanthurus nubilus",5209251,FALSE,52,27
"Acanthurus olivaceus","Acanthurus olivaceus",5209196,FALSE,5490,327
"Acanthurus pyroferus","Acanthurus pyroferus",5209154,FALSE,2508,286
"Acanthurus reversus","Acanthurus reversus",5209157,FALSE,12,3
"Acanthurus sohal","Acanthurus sohal",5209184,FALSE,363,36
"Acanthurus tennentii","Acanthurus tennentii",5209206,FALSE,161,41
"Acanthurus thompsoni","Acanthurus thompsoni",5209215,FALSE,1951,236
"Acanthurus triostegus","Acanthurus triostegus",5209217,FALSE,5380,442
"Acanthurus tristis","Acanthurus tristis",5209238,FALSE,53,13
"Acanthurus xanthopterus","Acanthurus xanthopterus",5209252,FALSE,2259,360
"Achoerodus gouldii","Achoerodus gouldii",2383158,FALSE,1719,103
"Achoerodus viridis","Achoerodus viridis",2383154,FALSE,9299,84
"Aetapcus maculatus","Aetapcus maculatus",2337068,FALSE,83,27
"Aethaloperca rogaa","Aethaloperca rogaa",2388085,FALSE,532,157
"Afurcagobius tamarensis","Afurcagobius tamarensis",2378393,FALSE,593,46
"Aioliops brachypterus","Aioliops brachypterus",2385750,FALSE,1,1
"Aioliops novaeguineae","Aioliops novaeguineae",2385749,FALSE,9,7
"Albula glossodonta","Albula glossodonta",5204109,FALSE,14,12
"Alectis ciliaris","Alectis ciliaris",2390537,FALSE,542,235
"Alloclinus holderi","Alloclinus holderi",2389598,FALSE,78,9
"Allomycterus pilatus","Allomycterus pilatus",2406528,FALSE,3000,263
"Alphestes immaculatus","Alphestes immaculatus",2387800,FALSE,160,46
"Altrichthys azurelineatus","Altrichthys azurelineatus",2398179,FALSE,11,2
"Altrichthys curatus","Altrichthys curatus",2398178,FALSE,1,1
"Aluterus scriptus","Aluterus scriptus",2406721,FALSE,2447,492
"Amanses scopas","Amanses scopas",2406900,FALSE,557,103
"Ambassis jacksoniensis","Ambassis jacksoniensis",2387315,FALSE,92,16
"Amblycirrhitus bimacula","Amblycirrhitus bimacula",2375106,FALSE,68,34
"Amblycirrhitus earnshawi","Amblycirrhitus earnshawi",2375110,FALSE,1,1
"Amblycirrhitus pinos","Amblycirrhitus pinos",2375113,FALSE,570,71
"Amblyeleotris fasciata","Amblyeleotris fasciata",2378840,FALSE,53,27
"Amblyeleotris guttata","Amblyeleotris guttata",2378829,FALSE,241,96
"Amblyeleotris gymnocephala","Amblyeleotris gymnocephala",2378826,FALSE,71,28
"Amblyeleotris japonica","Amblyeleotris japonica",2378820,FALSE,10,5
"Amblyeleotris periophthalma","Amblyeleotris periophthalma",2378802,FALSE,103,56
"Amblyeleotris steinitzi","Amblyeleotris steinitzi",2378812,FALSE,316,126
"Amblyeleotris sungami","Amblyeleotris sungami",2378847,FALSE,5,1
"Amblyeleotris wheeleri","Amblyeleotris wheeleri",2378853,FALSE,214,106
"Amblyglyphidodon aureus","Amblyglyphidodon aureus",2398497,FALSE,600,169
"Amblyglyphidodon batunaorum","Amblyglyphidodon batunaorum",11695307,FALSE,21,17
"Amblyglyphidodon curacao","Amblyglyphidodon curacao",2398488,FALSE,3691,225
"Amblyglyphidodon flavilatus","Amblyglyphidodon flavilatus",2398501,FALSE,71,15
"Amblyglyphidodon indicus","Amblyglyphidodon indicus",2398510,FALSE,264,38
"Amblyglyphidodon leucogaster","Amblyglyphidodon leucogaster",2398513,FALSE,1682,146
