"name","kingdom","phylum","class","order","family","genus","species"
"Abalistes stellatus","Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus"
"Abudefduf abdominalis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf abdominalis"
"Abudefduf bengalensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf bengalensis"
"Abudefduf concolor","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf concolor"
"Abudefduf conformis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf conformis"
"Similiparma lurida","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Similiparma","Similiparma lurida"
"Abudefduf notatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf notatus"
"Abudefduf saxatilis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf saxatilis"
"Abudefduf septemfasciatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf septemfasciatus"
"Abudefduf sexfasciatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sexfasciatus"
"Abudefduf sordidus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sordidus"
"Abudefduf sparoides","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sparoides"
"Abudefduf troschelii","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf troschelii"
"Abudefduf vaigiensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf vaigiensis"
"Abudefduf whitleyi","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf whitleyi"
"Acanthaluteres brownii","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres brownii"
"Acanthaluteres spilomelanurus","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres spilomelanurus"
