"name","kingdom","phylum","class","order","family","genus","species","ages_mean"
"Abalistes stellatus","Animalia","Chordata","Teleostei","Tetraodontiformes","Balistidae","Abalistes","Abalistes stellatus",14.6076627900003
"Abudefduf abdominalis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf abdominalis",5.40662795028652
"Abudefduf bengalensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf bengalensis",5.80746756995328
"Abudefduf concolor","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf concolor",6.69716210859226
"Abudefduf conformis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf conformis",8.31843386118526
"Abudefduf notatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf notatus",4.89687820636111
"Abudefduf saxatilis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf saxatilis",5.89909239407851
"Abudefduf septemfasciatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf septemfasciatus",6.48477161631878
"Abudefduf sexfasciatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sexfasciatus",4.96354796231613
"Abudefduf sordidus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sordidus",5.33875538918677
"Abudefduf sparoides","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf sparoides",5.37041861286562
"Abudefduf troschelii","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf troschelii",5.76694825872198
"Abudefduf vaigiensis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf vaigiensis",5.68548078632049
"Abudefduf whitleyi","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf whitleyi",5.73819656257932
"Acanthaluteres brownii","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres brownii",6.71230894780151
"Acanthaluteres spilomelanurus","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres spilomelanurus",7.02007828614244
"Acanthaluteres vittiger","Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Acanthaluteres","Acanthaluteres vittiger",6.56911882263306
"Acanthemblemaria atrata","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria atrata",14.737073898446
"Acanthemblemaria castroi","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria castroi",13.911420438995
"Acanthemblemaria crockeri","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria crockeri",11.7989607790043
"Acanthemblemaria hancocki","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria hancocki",12.3462393680952
"Acanthemblemaria spinosa","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria spinosa",16.9611911750233
"Acanthemblemaria stephensi","Animalia","Chordata","Teleostei","Blenniiformes","Chaenopsidae","Acanthemblemaria","Acanthemblemaria stephensi",14.3589561033665
"Acanthistius cinctus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Acanthistius","Acanthistius cinctus",32.0300405021129
"Acanthistius ocellatus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Acanthistius","Acanthistius ocellatus",34.5432495465313
"Acanthistius pardalotus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Acanthistius","Acanthistius pardalotus",11.4666651577537
"Acanthistius patachonicus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Acanthistius","Acanthistius patachonicus",11.1054113288837
"Acanthistius sebastoides","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Acanthistius","Acanthistius sebastoides",22.6684357827597
"Acanthistius serratus","Animalia","Chordata","Teleostei","Perciformes","Serranidae","Acanthistius","Acanthistius serratus",8.262273758126
"Acanthochromis polyacanthus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Acanthochromis","Acanthochromis polyacanthus",9.76692338546598
"Acanthopagrus australis","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Acanthopagrus","Acanthopagrus australis",12.0634295600288
"Acanthopagrus latus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sparidae","Acanthopagrus","Acanthopagrus latus",12.2448944143171
"Acanthostracion polygonium","Animalia","Chordata","Teleostei","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion polygonium",NA
"Acanthostracion quadricornis","Animalia","Chordata","Teleostei","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion quadricornis",22.1302440000002
"Acanthurus achilles","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus achilles",5.82456795275666
"Acanthurus albipectoralis","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus albipectoralis",5.93296459739757
"Acanthurus auranticavus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus auranticavus",3.77244711975445
"Acanthurus bahianus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus bahianus",2.43722218998296
"Acanthurus bariene","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus bariene",2.87634192699024
"Acanthurus blochii","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus blochii",2.49363483175029
"Acanthurus chirurgus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus chirurgus",3.0792964956064
"Acanthurus chronixis","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus chronixis",4.04280472988566
"Acanthurus coeruleus","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus coeruleus",7.69618695958523
"Acanthurus dussumieri","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus dussumieri",3.33249283376078
"Acanthurus fowleri","Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus fowleri",5.19863844632154
