"";"lambda"
"1";0,576334644831657
"2";0,582837676629919
"3";0,573786038595056
"4";0,58261923991293
"5";0,562995398675122
"6";0,591033195475736
"7";0,550122818414629
"8";0,575851228382913
"9";0,56392497648575
"10";0,608519904150287
"11";0,604847664487675
"12";0,621525478126357
"13";0,570989056015122
"14";0,566855365260531
"15";0,576537619300518
"16";0,579733954527274
"17";0,603829426409883
"18";0,591463977650184
"19";0,57552385124181
"20";0,604749516841471
"21";0,622208614298812
"22";0,589078312815224
"23";0,568027639162216
"24";0,585397630289206
"25";0,588734986394998
"26";0,539575135770013
"27";0,559268897541229
"28";0,563788003425342
"29";0,601958325972061
"30";0,548018837953511
"31";0,554680089478552
"32";0,582546523082299
"33";0,608064808188801
"34";0,575263151461378
"35";0,578476092634168
"36";0,577273717692353
"37";0,584861512182332
"38";0,559230561835817
"39";0,583827949172567
"40";0,587829001684311
"41";0,607350958949236
"42";0,553745766340263
"43";0,583495597107524
"44";0,574530143247397
"45";0,56373204390052
"46";0,57080564068092
"47";0,559007374621568
"48";0,570767417634921
"49";0,603023493314159
"50";0,617633814498693
"51";0,588190355100783
"52";0,585221245893575
"53";0,582653987035129
"54";0,608743433423053
"55";0,556627368987487
"56";0,568759736891834
"57";0,611420500133111
"58";0,588603213925506
"59";0,581733479704288
"60";0,567726903801358
"61";0,570334042615021
"62";0,574379877481512
"63";0,583214457927165
"64";0,597814109595013
"65";0,579606626655809
"66";0,583851706165477
"67";0,584214175366813
"68";0,572650205059834
"69";0,561008392263608
"70";0,606033241710368
"71";0,608206596373923
"72";0,551573579703798
"73";0,57293822852454
"74";0,564257943344876
"75";0,562027704923803
"76";0,578944755307133
"77";0,565518992962807
"78";0,569585680942016
"79";0,583642064096977
"80";0,591944757333657
"81";0,589162393748846
"82";0,572737026865836
"83";0,581971438073062
"84";0,562268471180289
"85";0,572344639206794
"86";0,596905160730812
"87";0,565535577837787
"88";0,610953026780694
"89";0,597557593179035
"90";0,627936085895709
"91";0,58950327005311
"92";0,572273702239764
"93";0,555407473584405
"94";0,599785989540218
"95";0,601299781626004
"96";0,56382329470877
"97";0,589269422485876
"98";0,554914095897726
"99";0,577013255200391
"100";0,60170012473049
