"";"lambda"
"1";0,456775886176708
"2";0,437219360433935
"3";0,407658096348141
"4";0,48841374359998
"5";0,404819855221707
"6";0,427031266762072
"7";0,436224137167289
"8";0,421820535539435
"9";0,425330950972717
"10";0,438410286284614
"11";0,446905058999209
"12";0,459096487620501
"13";0,42912539684934
"14";0,42872879811063
"15";0,394351853535516
"16";0,40290319772362
"17";0,435443236206442
"18";0,442921664634903
"19";0,394480603696574
"20";0,419656289642785
"21";0,456675018876887
"22";0,41855604983289
"23";0,427362243161896
"24";0,430769343216687
"25";0,437119186244296
"26";0,410468623112897
"27";0,406737455190992
"28";0,43501997542262
"29";0,49876487581737
"30";0,381295570462651
"31";0,43903680603942
"32";0,426489799046757
"33";0,470777277749348
"34";0,430338436215515
"35";0,429466167050169
"36";0,444961828719437
"37";0,456198710898744
"38";0,432129536291458
"39";0,457953373531193
"40";0,446191541961171
"41";0,440507237672074
"42";0,418680144492961
"43";0,440818673591008
"44";0,395001265399293
"45";0,42975011442232
"46";0,403366822436925
"47";0,414880601319396
"48";0,402873597655315
"49";0,462414740439798
"50";0,45573683913667
"51";0,432649698059612
"52";0,425042408015238
"53";0,427821266258513
"54";0,430434650033934
"55";0,420994951008084
"56";0,426428462168003
"57";0,421765554225425
"58";0,449850194156625
"59";0,428380072912387
"60";0,457215603493198
"61";0,42569061389122
"62";0,465235078272708
"63";0,395763495499484
"64";0,462362469692198
"65";0,395552952025115
"66";0,443887471939728
"67";0,427585060340178
"68";0,43942016605204
"69";0,420770443136064
"70";0,430857383288339
"71";0,480954022108763
"72";0,414954636392248
"73";0,463450414013645
"74";0,457078081892208
"75";0,413129397660689
"76";0,431037361795781
"77";0,427493775060554
"78";0,467296213395846
"79";0,432947609559279
"80";0,409117231860882
"81";0,446706648873567
"82";0,442681994272399
"83";0,456397755828716
"84";0,430152204978378
"85";0,413992139701539
"86";0,417388483951261
"87";0,440585443859615
"88";0,498469244289209
"89";0,435269868875712
"90";0,435646314728225
"91";0,454499657736798
"92";0,448145385676983
"93";0,435768290169833
"94";0,438027388526424
"95";0,423028271183768
"96";0,430120570784481
"97";0,426262078374035
"98";0,43225696707587
"99";0,452412393099264
"100";0,453735661714007
